Parameter,Units,TV,Description,Reference
vd_p,L,6.532194682,Volume of plasma,70kg basis
f_lpl_h,fraction,0.0734858,Fraction of total lipase activity on liver,PhysioLab
alpha_a48,mM-TG/mM-apoB48,182561.1223,TG/apoB48 synthesis,Fixed %of dietary fat intake
beta_a48,mM-Ch/mM-apoB48,1591.580539,Ch/apoB48 sythesis,25% of cholesterol comes from dietary sources (75% synthesized in liver)
alpha_a100,mM-TG/mM-apoB100,163068.846,TG/apoB100 synthesis,Back-calculated based on VLDL flux and ks_a100; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095238/
beta_a100,mM-Ch/mM-apoB100,24612.29919,Ch/apoB100 sythesis,800mg/day of production (back calculated to achieve)
f_ins,dimensionless,13.02187183,Enchanced clearance via LPL by insulin,
K_tgler,mM-TG,26.67240933,EC50 for VLDL export TG,
K_chl,mM-Ch,11.86525299,EC50 for VLDL export Ch,Set similar to TG (~0.5x basal)
a100,mM,0.002058182,Reference concentration,"Human Apolipoprotein (Apo) B-48 and ApoB-100 Kinetics With Stable Isotopes | Arteriosclerosis, Thrombosis, and Vascular Biology (ahajournals.org)"
tg_a100,mM,0.45,Reference concentration,
ch_a100,mM,2.6,Reference concentration,
a1,mM,0.041386139,Reference concentration,"Concentrations of apolipoproten AI, AII, and E in plasma and lipoprotein fractions of alcoholic patients: Gender differences in the effects of alcohol - Lin - 1995 - Hepatology - Wiley Online Library"
tg_a1,mM,0.24944071,Reference concentration,
ch_a1,mM,1.6,Reference concentration,HDL cholesterol: How to boost your 'good' cholesterol - Mayo Clinic
a48,mM,2.38095E-05,Reference concentration,"Human Apolipoprotein (Apo) B-48 and ApoB-100 Kinetics With Stable Isotopes | Arteriosclerosis, Thrombosis, and Vascular Biology (ahajournals.org)"
tg_a48,mM,0.08,Reference concentration,Based on 6 minute half-life in human plasma. 
ch_a48,mM,0.020129437,Reference concentration,Based on 6 minute half-life in human plasma. 
fa_lcy,mM,0.15,Reference concentration,
fa_ler,mM,0.15,Reference concentration,
tg_lcy,mM,58.29015544,Reference concentration,
tg_ler,mM,58.29015544,Reference concentration,
ch_l,mM,23.73050597,Reference concentration,"Pulled from Vupanorsen code, no further reference. Used V_lcy + V_ler as volume normalization."
ldlr,dimensionless,1,Reference concentration,"Actual LDL-R is difficult to measure, will work in relative"
pk9,mM,6.76389E-06,Reference concentration,Genetic and Metabolic Determinants of Plasma PCSK9 Levels - PMC (nih.gov)
ctpi_gut,mmols,0.00,PK for CETPi,
ctpi_cent,mM,0.00,PK for CETPi,
ctpi_Q1,mM,0.00,PK for CETPi,
ka_ctpi,1/hour,0.00,PK for CETPi,1st order absorption
kel_ctpi,1/hour,0.1,PK for CETPi,1st order clearance
vd_ctpi_cent,L,5.0000,PK for CETPi,Vd
vd_ctpi_Q1,L,5.0000,PK for CETPi,Vd
Q_ctpi,L/hour,0.1,PK for CETPi,Compartment flow rate
pk9_scale,dimensionless,1.00000,PD for PCSK9,
cetp_scale,dimensionless,1.00000,PD for CETPi,
